danceability|energy|key|loudness|mode|speechiness|acousticness|instrumentalness|liveness|valence|tempo|type|id|uri|track_href|analysis_url|duration_ms|time_signature|artist_name|song_name|num_top|popularity
0.703|0.669|10|-6.734|0|0.0416|0.0458|0.0|0.0992|0.763|133.096|audio_features|1PTgQ0HyfwbXRKapVPNKxI|spotify:track:1PTgQ0HyfwbXRKapVPNKxI|https://api.spotify.com/v1/tracks/1PTgQ0HyfwbXRKapVPNKxI|https://api.spotify.com/v1/audio-analysis/1PTgQ0HyfwbXRKapVPNKxI|202000|4|Oscar Maydon|Tipo Gatsby|36|85
0.869|0.568|8|-8.648|0|0.0729|0.0023|0.00177|0.0778|0.35|98.015|audio_features|4GvEuYAfJlICR2SpMDaBxQ|spotify:track:4GvEuYAfJlICR2SpMDaBxQ|https://api.spotify.com/v1/tracks/4GvEuYAfJlICR2SpMDaBxQ|https://api.spotify.com/v1/audio-analysis/4GvEuYAfJlICR2SpMDaBxQ|172768|4|Jere Klein|ANDO|37|83
0.626|0.708|5|-7.097|1|0.0556|0.442|3.04e-06|0.137|0.883|168.162|audio_features|1GtIK8iINes4gNt06F60NU|spotify:track:1GtIK8iINes4gNt06F60NU|https://api.spotify.com/v1/tracks/1GtIK8iINes4gNt06F60NU|https://api.spotify.com/v1/audio-analysis/1GtIK8iINes4gNt06F60NU|185240|4|Alfredo Olivas|Vete|38|84
0.497|0.644|10|-4.309|1|0.0443|0.188|0.0|0.114|0.779|162.542|audio_features|5HR7yfhSCeoOHRQN05XnZQ|spotify:track:5HR7yfhSCeoOHRQN05XnZQ|https://api.spotify.com/v1/tracks/5HR7yfhSCeoOHRQN05XnZQ|https://api.spotify.com/v1/audio-analysis/5HR7yfhSCeoOHRQN05XnZQ|169419|4|Grupo Frontera|QUE VUELVAS|39|85
0.725|0.484|5|-8.501|1|0.052|0.512|0.0|0.138|0.881|97.398|audio_features|5B8FWDSKUT5Ui1CsCfopWh|spotify:track:5B8FWDSKUT5Ui1CsCfopWh|https://api.spotify.com/v1/tracks/5B8FWDSKUT5Ui1CsCfopWh|https://api.spotify.com/v1/audio-analysis/5B8FWDSKUT5Ui1CsCfopWh|162649|4|Grupo Marca Registrada|Bling Bling|40|86
0.776|0.701|9|-5.223|1|0.0254|0.513|0.0|0.0902|0.603|112.032|audio_features|3wlIAXSDtlD9iU8ysld06Z|spotify:track:3wlIAXSDtlD9iU8ysld06Z|https://api.spotify.com/v1/tracks/3wlIAXSDtlD9iU8ysld06Z|https://api.spotify.com/v1/audio-analysis/3wlIAXSDtlD9iU8ysld06Z|265045|3|Peso Pluma|BIPOLAR|41|88
0.778|0.864|7|-4.61|0|0.0907|0.0898|0.0|0.0901|0.961|130.17|audio_features|3kx21xR6IboC9HVdajgBoc|spotify:track:3kx21xR6IboC9HVdajgBoc|https://api.spotify.com/v1/tracks/3kx21xR6IboC9HVdajgBoc|https://api.spotify.com/v1/audio-analysis/3kx21xR6IboC9HVdajgBoc|156501|3|Fuerza Regida|SABOR FRESA|42|82
0.795|0.678|11|-7.905|0|0.0586|0.0398|0.35|0.072|0.788|101.032|audio_features|7yIIeKUxTpn36X6CFJhgEi|spotify:track:7yIIeKUxTpn36X6CFJhgEi|https://api.spotify.com/v1/tracks/7yIIeKUxTpn36X6CFJhgEi|https://api.spotify.com/v1/audio-analysis/7yIIeKUxTpn36X6CFJhgEi|155965|4|Bellakath|Reggaeton Champagne|43|90
0.727|0.835|4|-6.508|1|0.0394|0.0281|5.88e-06|0.223|0.735|135.094|audio_features|0lbDzTINTToToBpkrnQT2t|spotify:track:0lbDzTINTToToBpkrnQT2t|https://api.spotify.com/v1/tracks/0lbDzTINTToToBpkrnQT2t|https://api.spotify.com/v1/audio-analysis/0lbDzTINTToToBpkrnQT2t|280377|3|Fuerza Regida|UNA CERVEZA|44|82
0.743|0.495|7|-6.992|0|0.0375|0.2|8.23e-06|0.103|0.512|134.933|audio_features|5SHXikmjPwChjvpVIeYkMf|spotify:track:5SHXikmjPwChjvpVIeYkMf|https://api.spotify.com/v1/tracks/5SHXikmjPwChjvpVIeYkMf|https://api.spotify.com/v1/audio-analysis/5SHXikmjPwChjvpVIeYkMf|176135|3|Oscar Maydon|Skin de Bandida|45|86
0.788|0.758|1|-6.513|1|0.0505|0.198|8.5e-05|0.104|0.823|119.008|audio_features|7gaA3wERFkFkgivjwbSvkG|spotify:track:7gaA3wERFkFkgivjwbSvkG|https://api.spotify.com/v1/tracks/7gaA3wERFkFkgivjwbSvkG|https://api.spotify.com/v1/audio-analysis/7gaA3wERFkFkgivjwbSvkG|214994|4|Ariana Grande|yes, and?|46|95
0.833|0.754|1|-5.215|0|0.288|0.0813|0.0|0.161|0.652|107.024|audio_features|671fHUAB2n0MocazS1bMB8|spotify:track:671fHUAB2n0MocazS1bMB8|https://api.spotify.com/v1/tracks/671fHUAB2n0MocazS1bMB8|https://api.spotify.com/v1/audio-analysis/671fHUAB2n0MocazS1bMB8|166046|4|Rels B|Por Dentro|47|86
0.922|0.678|9|-6.016|1|0.146|0.377|0.00279|0.412|0.58|134.012|audio_features|7LLBONqWyX3MoBvIVPu5fj|spotify:track:7LLBONqWyX3MoBvIVPu5fj|https://api.spotify.com/v1/tracks/7LLBONqWyX3MoBvIVPu5fj|https://api.spotify.com/v1/audio-analysis/7LLBONqWyX3MoBvIVPu5fj|156716|4|Tiagz|Tacata (Remix)|48|84
0.68|0.722|6|-5.064|1|0.033|0.167|0.0|0.123|0.525|128.085|audio_features|4DnhYGcizQepwr7vvvntih|spotify:track:4DnhYGcizQepwr7vvvntih|https://api.spotify.com/v1/tracks/4DnhYGcizQepwr7vvvntih|https://api.spotify.com/v1/audio-analysis/4DnhYGcizQepwr7vvvntih|162187|4|Alex Favela|ALVRGZO|49|83
0.778|0.739|9|-4.969|1|0.0385|0.14|0.0|0.335|0.847|119.99|audio_features|5cWgwbui8BasfjCXvBZ7UA|spotify:track:5cWgwbui8BasfjCXvBZ7UA|https://api.spotify.com/v1/tracks/5cWgwbui8BasfjCXvBZ7UA|https://api.spotify.com/v1/audio-analysis/5cWgwbui8BasfjCXvBZ7UA|153954|4|Carin Leon|Alch Si|50|84
